mercado;presentacion IQVIA;unidades MAT;fila lista de precios;envase;packs;PSL aplicado;PSL/unidad;estado
Calcio Base;CALCIO CIT DUPO D3 TABL MAST 1500MG x 30 /200;2167;CALCIO BASE DUPOMAR D3 200;30;1;6863.49;228.78;ok
Calcio Base;CALCIO CIT DUPO D3 TABL MAST 1500MG x 60 /200;1099;CALCIO BASE DUPOMAR D3 200;60;1;11051.44;184.19;ok
Calcio Base;CITRAMAR D 400 TABL 315MG x 30 /400;845;CALCIO BASE DUPOMAR D;30;1;6695.29;223.18;REVISAR: otra marca
Calcio Base;CITRAMAR D 200 TABL 315MG x 30 /200;500;CALCIO BASE DUPOMAR D;30;1;6695.29;223.18;REVISAR: otra marca
Calcio Base;CITRAMAR D 400 TABL 315MG x 60 /400;431;CALCIO BASE DUPOMAR D;60;1;11291.6;188.19;REVISAR: otra marca
Calcio Base;CITRAMAR D 200 TABL 315MG x 60 /200;244;CALCIO BASE DUPOMAR D;60;1;11291.6;188.19;REVISAR: otra marca
Cefalexiona;CEFALEXINA ARGENTI TABL DUO 1.00G x 14;306519;CEFALEXINA ARGENTIA DUO 1 GR;14;1;15346.53;1096.18;ok
Cefalexiona;CEFALEXINA ARGENTI TABL 500MG x 16;150183;CEFALEXINA ARGENTIA 500 MG;16;1;8281.48;517.59;ok
Cefalexiona;CEFALEXINA ARGENTI TABL DUO 1.00G x 16;127592;CEFALEXINA ARGENTIA DUO 1 GR;16;1;16699.88;1043.74;ok
Cefalexiona;CEFALEXINA ARGENTI TABL 500MG x 24;92488;CEFALEXINA ARGENTIA 500 MG;24;1;10613.33;442.22;ok
Cefalexiona;CEFACAR TABL DISPERS 500MG x 16;82474;CEFALEXINA ARGENTIA 500 MG;16;1;8281.48;517.59;REVISAR: otra marca
Cefalexiona;CEFALEXINA ARGENTI SUSP 500MG 90ML x 1 /5ML;66175;CEFALEXINA ARGENTIA 500 MG;90;1;8349.07;92.77;ok
Cefalexiona;CEFALEXINA ARGENTI TABL 500MG x 8;56254;CEFALEXINA ARGENTIA 500 MG;8;1;4815.66;601.96;ok
Cefalexiona;CEFACAR TABL DISPERS 500MG x 8;46217;CEFALEXINA ARGENTIA 500 MG;8;1;4815.66;601.96;REVISAR: otra marca
Cefalexiona;CEFACAR TABL 1.00G x 16;45756;CEFALEXINA ARGENTIA 500 MG;16;1;8281.48;517.59;REVISAR: otra marca
Cefalexiona;CEFALEXINA ARGENTI SUSP 500MG 120ML x 1 /5ML;40478;CEFALEXINA ARGENTIA 500 MG;120;1;10296.72;85.81;ok
Cefalexiona;CEFALEXINA ARGENTI SUSP DUO 750MG 90ML x 1;36298;CEFALEXINA ARGENTIA DUO 750 MG;90;1;9399.26;104.44;ok
